nombre,tipo,n_docs,n_menciones,alias,rank_crudo,retenida,es_actor_gold,tipo_correcto,nombre_canonico,notas
Lima,LOC,2416,3161,Monumental de Lima | . Lima,1,0,,,,
Policía Nacional del Perú,ORG,956,1527,Ministerio de Salud del Perú | Fondo de Aseguramiento en Salud de la Policía Nacional del Perú | Policía | EN | Promoción de la Salud del Ministerio de Salud | Promoción de la Salud,2,1,,,,
Jurado Nacional de Elecciones,ORG,578,1229,de | Nacional | Pleno del Jurado Nacional de Elecciones | Tribunal de Honor del Jurado Nacional de Elecciones | Pleno del Tribunal Constitucional | Tribunal Constitucional,3,1,,,,
Consejo de Ministros,ORG,557,926,Presidencia del Consejo de Ministros | Presidencia | Gobierno Digital de la Presidencia del Consejo de Ministros | Comité de Gobierno Digital | Gobierno Digital | Secretaría de Gobierno Digital de la Presidencia del Consejo de Ministros,4,1,,,,
Agencia Efe,ORG,532,1097,Efe | Agencia | EFE | Detik. Agencia Efe | Agencia EFE,5,0,,,,
Francisco Sagasti,PER,388,618,Presidente Sagasti | Presidente Francisco Sagasti | [ Presidente Sagasti | Francisco Sagasti ; | presidente Sagasti | [ Francisco ] Sagasti,6,1,,,,
Oficina Nacional de Procesos Electorales,ORG,443,872,Oficina Nacional de Proceso Electorales | Oficina Nacional de Elecciones | Oficina Descentralizada de Procesos Electorales | de | Oficina de | Oficina de Defensa Nacional,7,1,,,,
Agencia Andina,ORG,414,446,Agencia Andina on Scribd | Agencia _ Andina | Scribd,8,0,,,,
Municipalidad de Lima,ORG,383,706,Dirección Regional de Educación de Lima Metropolitana | idad Metropolitana de Lima | Municipalidad Metropolitana de Lima | Dirección Regional de Educación de Amazonas | idad de Lima | Dirección Regional de Educación,9,1,,,,
Fuerzas Armadas,ORG,359,554,Colombia | Fuerzas Armadas Revolucionarias de Colombia | Fuerzas armadas,10,1,,,,
Ministerio de Transportes y Comunicaciones,ORG,358,597,Ministerio de Transportes | Transportes | Comunicaciones | Ministerio de Transporte y Comunicaciones | Ministerio de Transporte de Camerún | Ministerio de Trasportes y Comunicaciones,11,1,,,,
Violet,PER,262,478,,12,1,,,,
Loreto,LOC,465,818,Amazonas | Loreto Amazonas,13,0,,,,
Banco de la Nación,ORG,305,556,Nación | Fiscalía de la Nación | Fiscalía | Banco | Fiscal de la Nación | Fiscalía General de la Nación,14,1,,,,
República,ORG,290,498,Congreso de la República de Alianza para el Progreso | Alianza para el Progreso | Congreso | Progreso | Progreso S | Alianza,15,0,,,,
Policía Nacional,ORG,278,431,Asociación Nacional de Ejecutores de Contrato de Administración de Reservas Comunales del Perú | Policía Nacional del Perú | Biblioteca Nacional del Perú | Asociación de Bancos del Perú | Asociación de Exportadores del Perú | Policía Nacional Perú,16,1,,,,
Ministerio de Desarrollo Agrario,ORG,275,672,Ministerio de Desarrollo Agrario y Riego | Riego | Ministerio de Agricultura y Riego | Agricultura | Ministerio de Agricultura | Ministerio de Desarrollo Agrario y Riesgo,17,1,,,,
Pilar Mazzetti,PER,206,423,Pilar Mazzetti Soler | Mazzetti | ] Mazzetti | Mazzetti Soler | [ Pilar ] Mazzetti | Pilar Mazzetti ”,18,1,,,,
Violeta Bermúdez,PER,199,258,a Bermúdez | Bermúdez | Violeta Bermúdez Valdivia | a Bermúdez Valdivia | Bermúdez Valdivia | Violeta Bermúdez ;,19,1,,,,
Podemos Perú,ORG,261,575,"Podemos | Perú | perú | r Perú | "" Podemos Perú "" | P Podemos Perú",20,1,,,,
Congreso,ORG,259,555,Congreso Olímpico de Baden - Baden,21,1,,,,
Ministerio de la Producción,ORG,230,364,Ministerio de la Mujer | Casa de la Mujer | Ministerio de Producción | Casa de la Mujer ”,22,1,,,,
