entity_a,entity_b,oracion,doc_id,fecha,triple_sujeto,triple_verbo,triple_objeto,tipo_sugerido,tipo_gold
Comercio Exterior y Turismo,Estado,"Artesanos con apoyo del Estado exponen sus productos en feria en Magdalena del Mar
En el marco de la conmemoración del Día del Artesano Peruano, el ministro de Comercio Exterior y Turismo, José Reyes Llanos, inauguró la feria “Artesanías del Perú – Magdalena del Mar”, que estará abierta al público del 19 al 22 de marzo, de 09:00 a.",andina:1067713,2026-03-19,Artesanos,,productos,alianza,
Roberto Sánchez,Comercio Exterior y Turismo,"Fernando Reyes Llanos continúa como ministro de Comercio Exterior y Turismo
El presidente de la República, José María Balcázar, tomó juramento a Fernando Reyes Llanos como ministro de Comercio Exterior y Turismo, quien formará parte del Gabinete ministerial de Luis Arroyo Sánchez.",andina:1067345,2026-03-17,Fernando,,ministro,mencion,
Keiko Fujimori,Libertad,"La candidata presidencial de Fuerza Popular, Keiko Fujimori, emite su voto en la institución educativa Libertador San Martín del distrito de San Borja.",andina:1078391,2026-06-07,candidata,,voto,nombramiento,
Congreso,Fuerza Popular,"Lee también: Congreso: Comisión Permanente se instala para periodo anual de sesiones 2023-2024 1- Constitución y Reglamento (26 integrantes) Presidencia: Martha Moyano Delgado (Fuerza Popular) Vicepresidenta: Adriana Tudela (Avanza País) Secretario: Jorge Marticorena (Perú Bicentenario) 2-Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología (18 integrantes) Presidenta: Ruth Luque (Cambio Democrático- Juntos por el Perú) Vicepresidenta: Francis Paredes (Podemos Perú) Secretaria: María Elizabeth Taipe Coronado (Perú Libre) 3-Descentralización, Regionalización, Gobiernos Locales y Modernización de la gestión del Estado (26 integrantes) Presidente: Alejandro Cavero Alva (Avanza País) Vicepresidente: Auristela Obando Morgan (Fuerza Popular) Secretaria: Margot Palacios Huamán (Perú Libre) 4-Mujer y Familia (18 integrantes) Presidenta: Milagros Jáuregui Martínez de Aguayo (Renovación Popular) Vicepresidencia: pendiente Secretaria: Hilda Portero López (Acción Popular) 5-Agraria (18 integrantes) Presidente: Eduardo Castillo Rivas (Fuerza Popular) Vicepresidente: Kelly Portalatino Ávalos (Perú Libre) Secretaria: Magaly Ruiz Rodríguez (Alianza para el Progreso) 6-Cultura y Patrimonio Cultural (18 integrantes) Presidente: Héctor Acuña Peralta (Unidad y Diálogo Parlamentario) Vicepresidenta: Susel Paredes Piqué (Cambio Democrático-Juntos por el Perú) Secretario: Javier Padilla Romero (Renovación Popular).",andina:951600,2023-08-16,,,,ruptura,
Roberto Sánchez,Ley,"El politólogo Fernando Tincopa, del Centro Wiñaq, sostuvo que los candidatos presidenciales Keiko Fujimori (Fuerza Popular) y Roberto Sánchez (Juntos por el Perú) deben considerar hacer concesiones y compromisos explícitos en el marco de esta segunda vuelta, ante la falta de una mayoría en el Congreso.",andina:1077216,2026-05-29,politólogo,,,nombramiento,
Roberto Sánchez,Fuerza Popular,"En ese sentido, el citado colegiado instó a los aspirantes presidenciales de Fuerza Popular (Keiko Fujimori) y de Juntos por el Perú (Roberto Sánchez), a que "" durante el desarrollo de esta actividad su participación se alinee al espíritu del Pacto Ético Electoral "".",andina:1077381,2026-05-30,colegiado,,,alianza,
Congreso,Ley,"Bancadas apoyan pedido de vacancia Las bancadas del Congreso se pronunciaron hoy y anunciaron que apoyarán el pedido de vacancia contra la presidenta de la república, Dina Boluarte, debido a que las medidas contra la inseguridad ciudadana no han sido efectivas para detener este flagelo que afecta al país.",andina:1047813,2025-10-09,Bancadas,,pedido,alianza,
Roberto Sánchez,may,"El candidato de Juntos por el Perú (JP), Roberto Sánchez, abrirá el debate presidencial programado para este domingo 31 de mayo, mientras que la postulante de Fuerza Popular (FP), Keiko Fujimori, será la última en dar las palabras de cierre.",andina:1076169,2026-05-27,,,,nombramiento,
Congreso,Ley,"“El rechazo de plano de la cuestión de confianza de la Presidencia del Consejo de Ministros por el Congreso ha motivado la crisis del Gabinete”, manifestó.",andina:919248,2022-11-25,,,,conflicto,
may,Fuerza Popular,"La candidata presidencial de Fuerza Popular, Keiko Fujimori Higuchi, indicó que, en el marco de los comicios generales en curso, debemos ser respetuosos de las decisiones del Jurado Nacional de Elecciones (JNE), que anunció para este domingo 17 de mayo la proclamación de los resultados de la primera vuelta de la elección presidencial.",andina:1075180,2026-05-14,candidata,,,nombramiento,
